Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1961","1961","t","273173","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1961","1961","1000 USD","117945","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1962","1962","t","243139","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1962","1962","1000 USD","98869","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1963","1963","t","296745","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1963","1963","1000 USD","124401","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1964","1964","t","300939","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1964","1964","1000 USD","138628","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1965","1965","t","384208","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1965","1965","1000 USD","170841","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1966","1966","t","608920","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1966","1966","1000 USD","233970","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1967","1967","t","635280","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1967","1967","1000 USD","265061","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1968","1968","t","724855","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1968","1968","1000 USD","288545","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1969","1969","t","736772","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1969","1969","1000 USD","349878","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1970","1970","t","838041","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1970","1970","1000 USD","361893","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1971","1971","t","1036322","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1971","1971","1000 USD","494771","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1972","1972","t","875168","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1972","1972","1000 USD","518953","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1973","1973","t","1102903","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1973","1973","1000 USD","759386","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1974","1974","t","1265196","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1974","1974","1000 USD","930162","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1975","1975","t","880043","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1975","1975","1000 USD","917997","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1976","1976","t","914319","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1976","1976","1000 USD","951062","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1977","1977","t","1186524","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1977","1977","1000 USD","1197955","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1978","1978","t","1060460","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1978","1978","1000 USD","1303298","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1979","1979","t","1189230","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1979","1979","1000 USD","1666894","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1980","1980","t","1273879","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1980","1980","1000 USD","2024913","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1981","1981","t","1427265","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1981","1981","1000 USD","2102943","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1982","1982","t","1307578","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1982","1982","1000 USD","1829223","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1983","1983","t","1343452","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1983","1983","1000 USD","1697473","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1984","1984","t","1501509","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1984","1984","1000 USD","1677825","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1985","1985","t","1519599","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1985","1985","1000 USD","1676043","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1986","1986","t","1678182","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1986","1986","1000 USD","2085001","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1987","1987","t","1577731","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1987","1987","1000 USD","2418542","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1988","1988","t","1696594","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1988","1988","1000 USD","2884966","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1989","1989","t","1653940","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1989","1989","1000 USD","2886481","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1990","1990","t","1733021","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1990","1990","1000 USD","3388921","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1991","1991","t","1771844","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1991","1991","1000 USD","3318218","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1992","1992","t","1930187","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1992","1992","1000 USD","3692558","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1993","1993","t","2070533","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1993","1993","1000 USD","3596913","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1994","1994","t","2342650","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1994","1994","1000 USD","3895325","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1995","1995","t","2267938","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1995","1995","1000 USD","4547477","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1996","1996","t","2301089","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1996","1996","1000 USD","4298285","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1997","1997","t","2330964","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1997","1997","1000 USD","3963588","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1998","1998","t","2312327","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1998","1998","1000 USD","3883445","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","1999","1999","t","2409528","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","1999","1999","1000 USD","3746064","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2000","2000","t","2536296","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2000","2000","1000 USD","3592529","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2001","2001","t","2547293","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2001","2001","1000 USD","3464739","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2002","2002","t","2383756","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2002","2002","1000 USD","3592388","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2003","2003","t","2456781","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2003","2003","1000 USD","4286884","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2004","2004","t","2554143","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2004","2004","1000 USD","4838984","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2005","2005","t","2595443","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2005","2005","1000 USD","4960425","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2006","2006","t","2584509","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2006","2006","1000 USD","5126785","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2007","2007","t","2795724","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2007","2007","1000 USD","6394990","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2008","2008","t","2888955","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2008","2008","1000 USD","7331645","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2009","2009","t","2798748","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2009","2009","1000 USD","6195576","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2010","2010","t","2986250","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2010","2010","1000 USD","6786862","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2011","2011","t","3283755","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2011","2011","1000 USD","7847429","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2012","2012","t","3258309","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2012","2012","1000 USD","7337299","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2013","2013","t","3115976","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2013","2013","1000 USD","7910374","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2014","2014","t","3242568.91","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2014","2014","1000 USD","8503637.77","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2015","2015","t","3300222.06","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2015","2015","1000 USD","6611060.84","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2016","2016","t","3174740.8","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2016","2016","1000 USD","6278337.07","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2017","2017","t","2946627.45","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2017","2017","1000 USD","6787654.55","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2018","2018","t","2931834.89","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2018","2018","1000 USD","6922496.66","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2019","2019","t","2810131.06","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2019","2019","1000 USD","6694925.57","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2020","2020","t","2835930.32","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2020","2020","1000 USD","6895845.37","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2021","2021","t","2689553.42","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2021","2021","1000 USD","7538876.36","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","F1887","Dairy Products","2022","2022","t","2575362.46","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export Value","F1887","Dairy Products","2022","2022","1000 USD","7867681.09","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1961","1961","t","17826","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1961","1961","1000 USD","10920","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1962","1962","t","23728","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1962","1962","1000 USD","14987","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1963","1963","t","24103","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1963","1963","1000 USD","16731","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1964","1964","t","36599","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1964","1964","1000 USD","23878","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1965","1965","t","68504","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1965","1965","1000 USD","55516","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1966","1966","t","130378","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1966","1966","1000 USD","67777","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1967","1967","t","211265","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1967","1967","1000 USD","99040","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1968","1968","t","252706","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1968","1968","1000 USD","113083","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1969","1969","t","247992","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1969","1969","1000 USD","123021","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1970","1970","t","362505","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1970","1970","1000 USD","149116","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1971","1971","t","610401","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1971","1971","1000 USD","288317","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1972","1972","t","667559","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1972","1972","1000 USD","291102","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1973","1973","t","1015582","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1973","1973","1000 USD","483611","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1974","1974","t","1272912","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1974","1974","1000 USD","755950","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1975","1975","t","1235282","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1975","1975","1000 USD","905097","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1976","1976","t","1447461","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1976","1976","1000 USD","874957","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1977","1977","t","1841077","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1977","1977","1000 USD","1142616","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1978","1978","t","2162487","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1978","1978","1000 USD","1434726","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1979","1979","t","2513038","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1979","1979","1000 USD","1987115","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1980","1980","t","2532628","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1980","1980","1000 USD","2458480","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1981","1981","t","2729373","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1981","1981","1000 USD","2339692","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1982","1982","t","2868789","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1982","1982","1000 USD","2221703","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","F1887","Dairy Products","1983","1983","t","2830306","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export Value","F1887","Dairy Products","1983","1983","1000 USD","1895752","A","Official figure",""
